web_scraper_order,web_scraper_start_url,pagination,data,data2,rating,data3,data4,price,data12,data17
"1786479718-1","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2007 Toyota CAMRY 2.4 (ปี 06-12) G Sedan","2007 Toyota Camry 2.4 (ปี 06-12) G Sedan ผ่อน 6,xxx.- ยอดเจริญยนต์ - รับปิดบัญชี - ...","Toyota CAMRY","150 - 155K กม.","ปทุมธานี","288,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-2","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2008 Honda City 1.5 (ปี 08-14) S Sedan","2008 Honda City 1.5 (ปี 08-14) S Sedan ยอดเจริญยนต์ - รับปิดบัญชี - รับรีไฟแนนท์ - ...","Honda City","110 - 115K กม.","ปทุมธานี","158,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-3","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2019 Hyundai H-1 2.5 (ปี 18-24) Elite Van","Hyundai h1 2.5 elite 2019 สีน้ำตาล เดิมๆ รถสวย สภาพพร้อมใช้ เครื่องเกียร์สมบูรณ์ จอ ...","Hyundai H-1","130 - 135K กม.","กรุงเทพมหานคร","669,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-4","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2022 Honda ACCORD 2.0 (ปี 19-23) Hybrid TECH Sedan","รถเก๋งระดับผู้บริหาร ผ่อนเริ่ม 14,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี ...","Honda ACCORD","140 - 145K กม.","สมุทรปราการ","849,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-5","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2020 Mitsubishi TRITON 2.4 Double Cab (ปี 18-23) GLS Picku...","รถกระบะ ผ่อนเริ่ม 9,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","Mitsubishi TRITON","180 - 185K กม.","กรุงเทพมหานคร","519,000 บาท","มือสอง","เกียร์ธรรมดา"
"1786479718-6","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2025 Isuzu D-MAX 2.2 Space Cab (ปี 19-26) L Pickup","รถปีใหม่ ไมล์น้อยผ่อนเริ่ม 10,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี ...","Isuzu D-MAX","20 - 25K กม.","ชลบุรี","589,000 บาท","มือสอง","เกียร์ธรรมดา"
"1786479718-7","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2022 Honda City 1.0 (ปี 19-26) V Sedan","รถเล็ก ผ่อนเริ่ม 6,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","Honda City","75 - 80K กม.","กรุงเทพมหานคร","379,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-8","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2024 Mazda 2 1.3 (ปี 15-25) S Sports Leather Hatchback","ออกรถ 55 บาท ผ่อนเพียง 7,XXX **-. /เดือน ราคาพิเศษ 429,000 ราคากลาง : 430,000 ...","Mazda 2","27629 กม.","กรุงเทพมหานคร","429,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-9","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2021 Toyota FORTUNER 2.4 (ปี 15-25) Legender SUV","รถ PPV ผ่อนเริ่ม 15,xxx-./เดือน เครดิตดีฟรีดาวน์* รับประกัน 5 ปี มีรถให้ใช้ระหว่างซ่อม ...","Toyota FORTUNER","155 - 160K กม.","ชลบุรี","899,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479718-10","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","","2022 Isuzu MU-X 1.9 (ปี 20-26) Active SUV","🔸 CARS X คัดมาให้แล้วรถสวยคุณภาพดี ISUZU MU-X 1.9 ACTIVE สีขาว เกียร์ AT ปี 2022 เลขไมล์ ...","Isuzu MU-X","85 - 90K กม.","กรุงเทพมหานคร","859,000 บาท","มือสอง","เกียร์อัตโนมัติ"
