listing_id,car_key,date_key,location_key,ask_price,mileage,car_age
1,1,20240425,1,269000.0,172500,11
2,2,20260822,2,359000.0,32500,3
3,1247,20241214,2,359000.0,32500,3
4,3,20240819,2,1250000.0,32500,1
5,4,20261101,1,449000.0,112500,4
6,69,20260910,1,449000.0,112500,4
7,1,20250930,1,259000.0,22500,11
8,5,20241011,1,15990000.0,12500,10
9,6,20250927,3,259000.0,207500,14
10,7,20250628,1,819000.0,62500,5
11,8,20250126,4,229000.0,107500,12
12,9,20240317,4,589000.0,22500,1
13,10,20241023,5,269000.0,117152,12
14,949,20241125,5,269000.0,117152,12
15,11,20261222,2,639000.0,112500,3
16,251,20240926,2,639000.0,112500,3
17,12,20240803,1,459000.0,89245,5
18,226,20250524,1,459000.0,89245,5
19,13,20250801,1,659000.0,75378,6
20,282,20261212,1,659000.0,75378,6
21,14,20250510,1,899000.0,93414,4
22,456,20260805,1,899000.0,93414,4
23,15,20240403,6,399000.0,132500,3
24,636,20250916,6,399000.0,132500,3
25,16,20240816,1,869000.0,22500,1
26,17,20240906,6,409000.0,100182,6
27,110,20251221,6,409000.0,100182,6
28,18,20260906,2,759000.0,112500,7
29,167,20240630,2,759000.0,112500,7
30,19,20240923,1,429000.0,73636,6
31,352,20260930,1,429000.0,73636,6
32,11,20241007,6,649000.0,97500,3
33,251,20260819,6,649000.0,97500,3
34,20,20251028,1,1199000.0,98144,3
35,134,20250614,1,1199000.0,98144,3
36,21,20250226,5,919000.0,37500,2
37,22,20260907,1,1459000.0,124261,4
38,23,20250329,1,269000.0,142500,12
39,24,20240923,2,688000.0,40000,3
40,1034,20250521,2,688000.0,40000,3
41,25,20241111,1,499000.0,152500,8
42,418,20260202,1,499000.0,152500,8
43,846,20260616,1,499000.0,152500,8
44,26,20260810,1,1399000.0,142500,6
45,27,20260524,1,659000.0,32500,6
46,163,20260704,1,659000.0,32500,6
47,28,20240122,1,1090000.0,122500,7
48,29,20250118,1,1180000.0,32500,2
49,30,20240412,1,420000.0,52500,4
50,31,20260618,1,799000.0,152500,9
51,32,20260102,1,829000.0,142500,9
52,33,20240419,1,399000.0,162500,11
53,34,20261224,7,268000.0,68033,10
54,35,20251031,1,849000.0,87500,3
55,533,20261108,1,849000.0,87500,3
56,36,20250118,1,599000.0,97500,6
57,37,20240708,1,689000.0,97500,5
58,38,20260131,1,799000.0,97500,4
59,321,20241225,1,799000.0,97500,4
60,39,20260524,1,569000.0,97500,7
61,225,20260604,1,569000.0,97500,7
62,40,20240319,1,459000.0,62500,7
63,886,20250818,1,459000.0,62500,7
64,41,20260604,1,679000.0,97500,7
65,42,20261011,1,579000.0,97500,8
66,43,20240528,1,389000.0,97500,5
67,974,20240110,1,389000.0,97500,5
68,1090,20260302,1,389000.0,97500,5
69,7,20261214,1,649000.0,97500,5
70,12,20260521,1,399000.0,97500,5
71,226,20240628,1,399000.0,97500,5
72,44,20260113,1,199000.0,7500,11
73,45,20250115,1,589000.0,97500,7
74,46,20250326,1,659000.0,97500,4
75,47,20250128,1,799000.0,7500,1
76,48,20260822,1,729000.0,97500,2
77,49,20250308,1,749000.0,97500,3
78,50,20260811,1,469000.0,137500,8
79,105,20260803,1,469000.0,137500,8
80,50,20261129,1,459000.0,197500,8
81,105,20260204,1,459000.0,197500,8
82,51,20260626,2,189000.0,157500,16
83,52,20240325,1,329000.0,132500,8
84,913,20260222,1,329000.0,132500,8
85,53,20260326,2,439000.0,102500,5
86,54,20251207,2,269000.0,172500,9
87,55,20240926,1,419000.0,72500,3
88,11,20260420,1,959000.0,37500,3
89,251,20261108,1,959000.0,37500,3
90,56,20261129,1,549000.0,17500,2
91,219,20250530,1,549000.0,17500,2
92,57,20261122,1,469000.0,127500,4
93,58,20250325,1,839000.0,147500,6
94,59,20251115,2,569000.0,133150,7
95,13,20250916,1,659000.0,77500,6
96,282,20260603,1,659000.0,77500,6
97,60,20241114,8,819000.0,82500,4
98,610,20250502,8,819000.0,82500,4
99,61,20250326,1,369000.0,72500,4
100,62,20241218,4,399000.0,147500,5
101,11,20260812,1,639000.0,112500,3
102,251,20261102,1,639000.0,112500,3
103,63,20241115,5,429000.0,47500,7
104,64,20240325,1,629000.0,182500,3
105,1266,20240904,1,629000.0,182500,3
106,60,20250721,1,979000.0,117500,4
107,610,20251114,1,979000.0,117500,4
108,65,20251005,4,649000.0,28166,2
109,66,20250423,4,429000.0,77500,4
110,67,20251213,6,659000.0,162500,4
111,68,20250102,2,739000.0,122500,5
112,4,20241222,1,549000.0,142500,4
113,69,20250211,1,549000.0,142500,4
114,59,20240627,5,649000.0,117500,7
115,70,20250101,1,619000.0,102500,8
116,1007,20261125,1,619000.0,102500,8
117,71,20250407,1,1649000.0,132500,6
118,72,20260407,9,459000.0,227500,12
119,1008,20240525,9,459000.0,227500,12
120,73,20250114,1,479000.0,27500,4
121,477,20240616,1,479000.0,27500,4
122,74,20240327,2,189000.0,137500,13
123,75,20240602,9,259000.0,167500,11
124,76,20250511,1,938000.0,97500,4
125,1319,20241110,1,938000.0,97500,4
126,57,20251223,1,378000.0,57500,4
127,77,20260202,1,758000.0,140000,8
128,78,20240918,1,528000.0,2500,12
129,185,20250501,1,528000.0,2500,12
130,79,20250329,1,1450000.0,127500,8
131,66,20250318,1,398000.0,12500,4
132,80,20250626,9,399000.0,257500,9
133,81,20241215,1,699000.0,67500,8
134,82,20260403,1,1490000.0,92500,3
135,83,20250313,1,1580000.0,77500,10
136,83,20240617,1,1350000.0,127500,10
137,71,20240123,1,1680000.0,87500,6
138,84,20260914,1,788000.0,67500,5
139,341,20251106,1,788000.0,67500,5
140,84,20241007,1,758000.0,100000,5
141,341,20251222,1,758000.0,100000,5
142,20,20240909,1,1050000.0,87500,3
143,134,20250207,1,1050000.0,87500,3
144,85,20240512,1,778000.0,2500,6
145,86,20250909,1,268000.0,90000,14
146,87,20240819,1,498000.0,142500,7
147,387,20250628,1,498000.0,142500,7
148,12,20240319,1,498000.0,100000,5
149,226,20261124,1,498000.0,100000,5
150,20,20250509,1,1150000.0,87500,3
151,134,20241123,1,1150000.0,87500,3
152,88,20260824,1,798000.0,67500,5
153,68,20251120,1,678000.0,2500,5
154,89,20250118,1,738000.0,127500,3
155,88,20250630,1,828000.0,82500,5
156,90,20250126,1,528000.0,40000,4
157,942,20260627,1,528000.0,40000,4
158,91,20251115,1,378000.0,87500,7
159,151,20250624,1,378000.0,87500,7
160,89,20241023,1,728000.0,17500,3
161,88,20240225,1,778000.0,2500,5
162,92,20261105,1,698000.0,117500,7
163,93,20240306,1,2590000.0,72500,3
164,94,20260815,1,1590000.0,42500,2
165,37,20261112,1,898000.0,30000,5
166,95,20251202,1,698000.0,32500,2
167,96,20260129,1,458000.0,100,6
168,579,20250430,1,458000.0,100,6
169,95,20260331,1,638000.0,50000,2
170,58,20260606,1,848000.0,60000,6
171,97,20240625,1,638000.0,2500,9
172,1009,20240713,1,638000.0,2500,9
173,95,20261102,1,698000.0,2000,2
174,98,20260525,1,648000.0,150000,7
175,99,20240614,1,288000.0,110000,12
176,100,20250710,1,638000.0,110000,7
177,101,20240615,1,498000.0,50000,3
178,1283,20251209,1,498000.0,50000,3
179,98,20251218,1,688000.0,2500,7
180,7,20240406,1,898000.0,50000,5
181,102,20251109,1,268000.0,67500,8
182,103,20250207,1,388000.0,52500,5
183,931,20241017,1,388000.0,52500,5
184,104,20240515,1,498000.0,102500,4
185,1084,20260607,1,498000.0,102500,4
186,50,20260530,1,548000.0,82500,8
187,105,20250101,1,548000.0,82500,8
188,106,20250701,1,758000.0,2500,3
189,107,20260620,1,228000.0,187500,15
190,108,20240904,1,268000.0,102500,7
191,109,20260204,1,498000.0,17500,1
192,17,20240310,1,568000.0,77500,6
193,110,20260115,1,568000.0,77500,6
194,111,20260922,1,698000.0,77500,3
195,112,20241124,1,588000.0,97500,5
196,1023,20261105,1,588000.0,97500,5
197,113,20251129,1,628000.0,2500,4
198,114,20260316,1,348000.0,87500,6
199,592,20240930,1,348000.0,87500,6
200,115,20250607,1,488000.0,157500,8
201,881,20240806,1,488000.0,157500,8
202,116,20261020,1,548000.0,27500,3
203,1287,20250527,1,548000.0,27500,3
204,117,20250408,1,429000.0,87500,5
205,118,20250326,1,529000.0,167500,9
206,119,20260712,1,799000.0,42500,3
207,351,20260721,1,799000.0,42500,3
208,120,20250423,1,769000.0,162500,7
209,111,20241111,1,598000.0,92500,3
210,121,20251101,1,688000.0,12500,1
211,122,20251128,1,749000.0,127500,9
212,123,20260919,1,498000.0,2500,6
213,124,20260206,1,498000.0,57500,4
214,349,20260625,1,498000.0,57500,4
215,1169,20260527,1,498000.0,57500,4
216,125,20261118,1,348000.0,47500,7
217,196,20240329,1,348000.0,47500,7
218,114,20250109,1,348000.0,77500,6
219,592,20241229,1,348000.0,77500,6
220,113,20240526,1,618000.0,2500,4
221,62,20241109,1,388000.0,97500,5
222,126,20250701,1,268000.0,2500,8
223,1129,20260306,1,268000.0,2500,8
224,127,20260617,1,928000.0,47500,4
225,128,20240410,1,188000.0,2500,10
226,129,20240416,1,759000.0,147500,7
227,130,20260506,1,298000.0,2500,13
228,66,20260725,1,398000.0,12500,4
229,35,20241017,1,948000.0,57500,3
230,533,20250908,1,948000.0,57500,3
231,101,20250810,1,478000.0,37500,3
232,1283,20250818,1,478000.0,37500,3
233,131,20260903,1,548000.0,67500,6
234,58,20261209,1,758000.0,127500,6
235,132,20260517,1,538000.0,17500,3
236,133,20260827,1,988000.0,37500,3
237,336,20251222,1,988000.0,37500,3
238,64,20240606,1,538000.0,102500,3
239,1266,20241123,1,538000.0,102500,3
240,20,20260104,1,928000.0,2500,3
241,134,20250924,1,928000.0,2500,3
242,57,20241122,1,429000.0,107500,4
243,135,20250522,1,549000.0,42500,7
244,698,20260519,1,549000.0,42500,7
245,58,20240828,1,758000.0,147500,6
246,50,20250310,1,558000.0,142500,8
247,105,20261117,1,558000.0,142500,8
248,136,20251204,1,388000.0,137500,9
249,137,20250811,1,388000.0,17500,4
250,127,20250216,1,958000.0,102500,4
251,138,20250722,1,518000.0,102500,4
252,328,20260915,1,518000.0,102500,4
253,20,20261207,1,1160000.0,2500,3
254,134,20250428,1,1160000.0,2500,3
255,7,20251029,1,798000.0,2500,5
256,35,20240530,1,998000.0,47500,3
257,533,20240812,1,998000.0,47500,3
258,62,20240912,1,398000.0,77500,5
259,139,20240301,1,418000.0,102500,10
260,140,20250130,1,648000.0,52500,2
261,64,20250114,1,698000.0,67500,3
262,1266,20241214,1,698000.0,67500,3
263,141,20240131,1,818000.0,152500,5
264,322,20240311,1,818000.0,152500,5
265,90,20250131,1,528000.0,42500,4
266,942,20240102,1,528000.0,42500,4
267,142,20260717,1,698000.0,27500,3
268,143,20250715,1,628000.0,2500,6
269,78,20240525,1,528000.0,202500,12
270,185,20240627,1,528000.0,202500,12
271,108,20240920,1,268000.0,97500,7
272,144,20240722,1,328000.0,97500,7
273,596,20251129,1,328000.0,97500,7
274,24,20261119,1,688000.0,37500,3
275,1034,20240228,1,688000.0,37500,3
276,145,20261029,1,279000.0,122500,12
277,269,20260914,1,279000.0,122500,12
278,146,20240615,1,339000.0,137500,8
279,147,20260625,1,379000.0,72500,3
280,831,20260616,1,379000.0,72500,3
281,148,20260301,1,619000.0,182500,11
282,765,20240829,1,619000.0,182500,11
283,149,20260626,1,185000.0,122500,12
284,150,20260215,1,228000.0,102500,7
285,1197,20240717,1,228000.0,102500,7
286,91,20261122,1,269000.0,167500,7
287,151,20250211,1,269000.0,167500,7
288,152,20240808,1,458000.0,132500,5
289,153,20261228,1,333000.0,112500,7
290,1269,20260419,1,333000.0,112500,7
291,154,20260226,1,175000.0,77500,9
292,155,20250707,1,388000.0,137500,8
293,102,20250731,1,159000.0,217500,8
294,156,20250616,1,229000.0,107500,6
295,1092,20241130,1,229000.0,107500,6
296,157,20261017,1,299000.0,2500,11
297,1044,20240902,1,299000.0,2500,11
298,158,20250902,1,135000.0,222500,17
299,159,20241124,1,659000.0,182500,3
300,160,20250630,1,1250000.0,197500,6
301,161,20241204,1,398000.0,72500,3
302,162,20260920,1,439000.0,172500,13
