sales_id,car_key,date_key,customer_key,acquisition_source_key,location_key,list_price,selling_price,discount_amount,discount_pct,cost_price,profit,profit_margin,depreciation_amount,discount_to_deprec_ratio,net_revenue,days_on_lot,car_age,mileage,quantity
1,1,20260505,53,3,1,293000.0,269000.0,24000.0,8.19,236000.0,33000.0,12.27,175906.25,13.64,269000.0,103,11,172500,1
2,2,20250619,43,3,2,411000.0,359000.0,52000.0,12.65,304000.0,55000.0,15.32,90959.23,57.17,359000.0,57,3,32500,1
3,3,20241211,73,2,2,1404000.0,1250000.0,154000.0,10.97,1086000.0,164000.0,13.12,112320.0,137.11,1250000.0,15,1,32500,1
4,4,20240905,33,1,1,498000.0,449000.0,49000.0,9.84,364000.0,85000.0,18.93,141236.31,34.69,449000.0,24,4,112500,1
5,69,20241102,31,3,1,498000.0,449000.0,49000.0,9.84,364000.0,85000.0,18.93,141236.31,34.69,449000.0,24,4,112500,1
6,1,20240805,38,3,1,276000.0,259000.0,17000.0,6.16,219000.0,40000.0,15.44,165700.08,10.26,259000.0,24,11,22500,1
7,5,20251102,30,3,1,17039000.0,15990000.0,1049000.0,6.16,13902000.0,2088000.0,13.06,9637455.13,10.88,15990000.0,70,10,12500,1
8,6,20240528,40,3,3,273000.0,259000.0,14000.0,5.13,219000.0,40000.0,15.44,188044.36,7.45,259000.0,25,14,207500,1
9,7,20240301,65,2,1,931000.0,819000.0,112000.0,12.03,702000.0,117000.0,14.29,317395.1,35.29,819000.0,29,5,62500,1
10,8,20240930,36,3,4,254000.0,229000.0,25000.0,9.84,190000.0,39000.0,17.03,160612.74,15.57,229000.0,86,12,107500,1
11,9,20260224,62,2,4,660000.0,589000.0,71000.0,10.76,476000.0,113000.0,19.19,52800.0,134.47,589000.0,53,1,22500,1
12,10,20250303,45,1,5,283000.0,269000.0,14000.0,4.95,225000.0,44000.0,16.36,178950.41,7.82,269000.0,51,12,117152,1
13,1064,20260408,76,2,5,283000.0,269000.0,14000.0,4.95,225000.0,44000.0,16.36,178950.41,7.82,269000.0,51,12,117152,1
14,11,20250712,24,1,2,733000.0,639000.0,94000.0,12.82,531000.0,108000.0,16.9,162221.7,57.95,639000.0,55,3,112500,1
15,264,20251119,24,3,2,733000.0,639000.0,94000.0,12.82,531000.0,108000.0,16.9,162221.7,57.95,639000.0,55,3,112500,1
16,12,20260902,94,1,1,520000.0,459000.0,61000.0,11.73,399000.0,60000.0,13.07,177277.61,34.41,459000.0,104,5,89245,1
17,334,20260525,53,1,1,520000.0,459000.0,61000.0,11.73,399000.0,60000.0,13.07,177277.61,34.41,459000.0,104,5,89245,1
18,13,20240705,36,1,1,706000.0,659000.0,47000.0,6.66,540000.0,119000.0,18.06,277913.37,16.91,659000.0,43,6,75378,1
19,299,20250514,31,2,1,706000.0,659000.0,47000.0,6.66,540000.0,119000.0,18.06,277913.37,16.91,659000.0,43,6,75378,1
20,14,20240202,47,1,1,960000.0,899000.0,61000.0,6.35,789000.0,110000.0,12.24,272262.76,22.4,899000.0,73,4,93414,1
21,15,20240909,91,3,6,426000.0,399000.0,27000.0,6.34,350000.0,49000.0,12.28,94278.91,28.64,399000.0,38,3,132500,1
22,2259,20250429,7,3,6,426000.0,399000.0,27000.0,6.34,350000.0,49000.0,12.28,94278.91,28.64,399000.0,38,3,132500,1
23,16,20250501,51,2,1,939000.0,869000.0,70000.0,7.45,712000.0,157000.0,18.07,75120.0,93.18,869000.0,12,1,22500,1
24,17,20241028,95,3,6,451000.0,409000.0,42000.0,9.31,339000.0,70000.0,17.11,177533.89,23.66,409000.0,18,6,100182,1
25,114,20260623,28,2,6,451000.0,409000.0,42000.0,9.31,339000.0,70000.0,17.11,177533.89,23.66,409000.0,18,6,100182,1
26,18,20240422,65,2,2,830000.0,759000.0,71000.0,8.55,662000.0,97000.0,12.78,366987.32,19.35,759000.0,84,7,112500,1
27,172,20250430,25,1,2,830000.0,759000.0,71000.0,8.55,662000.0,97000.0,12.78,366987.32,19.35,759000.0,84,7,112500,1
28,19,20240104,9,1,1,463000.0,429000.0,34000.0,7.34,376000.0,53000.0,12.35,182257.63,18.65,429000.0,84,6,73636,1
29,377,20240213,37,1,1,463000.0,429000.0,34000.0,7.34,376000.0,53000.0,12.35,182257.63,18.65,429000.0,84,6,73636,1
30,1389,20240617,79,3,1,463000.0,429000.0,34000.0,7.34,376000.0,53000.0,12.35,182257.63,18.65,429000.0,84,6,73636,1
31,11,20250819,100,3,6,721000.0,649000.0,72000.0,9.99,542000.0,107000.0,16.49,159565.95,45.12,649000.0,34,3,97500,1
32,264,20261015,37,1,6,721000.0,649000.0,72000.0,9.99,542000.0,107000.0,16.49,159565.95,45.12,649000.0,34,3,97500,1
33,20,20250115,88,2,1,1276000.0,1199000.0,77000.0,6.03,990000.0,209000.0,17.43,282394.11,27.27,1199000.0,95,3,98144,1
34,139,20240328,18,1,1,1276000.0,1199000.0,77000.0,6.03,990000.0,209000.0,17.43,282394.11,27.27,1199000.0,95,3,98144,1
35,21,20240527,60,1,5,992000.0,919000.0,73000.0,7.36,774000.0,145000.0,15.78,152371.2,47.91,919000.0,51,2,37500,1
36,22,20240131,31,3,1,1585000.0,1459000.0,126000.0,7.95,1247000.0,212000.0,14.53,449517.16,28.03,1459000.0,55,4,124261,1
37,23,20260602,27,1,1,295000.0,269000.0,26000.0,8.81,221000.0,48000.0,17.84,186538.42,13.94,269000.0,82,12,142500,1
38,24,20251220,18,2,2,776000.0,688000.0,88000.0,11.34,591000.0,97000.0,14.1,171738.11,51.24,688000.0,93,3,40000,1
39,741,20261207,80,3,2,776000.0,688000.0,88000.0,11.34,591000.0,97000.0,14.1,171738.11,51.24,688000.0,93,3,40000,1
40,25,20240523,71,1,1,534000.0,499000.0,35000.0,6.55,401000.0,98000.0,19.64,259941.12,13.46,499000.0,68,8,152500,1
41,449,20240716,36,1,1,534000.0,499000.0,35000.0,6.55,401000.0,98000.0,19.64,259941.12,13.46,499000.0,68,8,152500,1
42,1276,20250502,18,2,1,534000.0,499000.0,35000.0,6.55,401000.0,98000.0,19.64,259941.12,13.46,499000.0,68,8,152500,1
43,26,20260427,71,3,1,1541000.0,1399000.0,142000.0,9.21,1125000.0,274000.0,19.59,606606.94,23.41,1399000.0,30,6,142500,1
44,27,20260130,38,3,1,731000.0,659000.0,72000.0,9.85,548000.0,111000.0,16.84,287754.49,25.02,659000.0,83,6,32500,1
45,168,20240615,47,2,1,731000.0,659000.0,72000.0,9.85,548000.0,111000.0,16.84,287754.49,25.02,659000.0,83,6,32500,1
46,28,20250202,65,3,1,1150000.0,1090000.0,60000.0,5.22,903000.0,187000.0,17.16,508476.41,11.8,1090000.0,31,7,122500,1
47,29,20260210,36,2,1,1311000.0,1180000.0,131000.0,9.99,974000.0,206000.0,17.46,201369.6,65.05,1180000.0,38,2,32500,1
48,30,20260425,46,2,1,448000.0,420000.0,28000.0,6.25,352000.0,68000.0,16.19,127055.95,22.04,420000.0,72,4,52500,1
49,31,20250118,87,3,1,844000.0,799000.0,45000.0,5.33,660000.0,139000.0,17.4,445495.81,10.1,799000.0,82,9,152500,1
50,32,20250615,45,2,1,949000.0,829000.0,120000.0,12.64,676000.0,153000.0,18.46,500918.87,23.96,829000.0,70,9,142500,1
51,33,20240104,7,1,1,457000.0,399000.0,58000.0,12.69,329000.0,70000.0,17.54,274365.72,21.14,399000.0,73,11,162500,1
52,34,20260107,5,1,7,303000.0,268000.0,35000.0,11.55,235000.0,33000.0,12.31,171380.3,20.42,268000.0,78,10,68033,1
53,35,20241203,90,1,1,917000.0,849000.0,68000.0,7.42,707000.0,142000.0,16.73,202943.1,33.51,849000.0,49,3,87500,1
54,584,20250104,76,3,1,917000.0,849000.0,68000.0,7.42,707000.0,142000.0,16.73,202943.1,33.51,849000.0,49,3,87500,1
55,36,20251118,68,1,1,635000.0,599000.0,36000.0,5.67,501000.0,98000.0,16.36,249964.57,14.4,599000.0,84,6,97500,1
56,37,20240701,21,1,1,771000.0,689000.0,82000.0,10.64,583000.0,106000.0,15.38,262848.15,31.2,689000.0,10,5,97500,1
57,38,20260120,49,3,1,874000.0,799000.0,75000.0,8.58,702000.0,97000.0,12.14,247872.55,30.26,799000.0,115,4,97500,1
58,340,20250805,40,2,1,874000.0,799000.0,75000.0,8.58,702000.0,97000.0,12.14,247872.55,30.26,799000.0,115,4,97500,1
59,39,20250719,76,2,1,604000.0,569000.0,35000.0,5.79,466000.0,103000.0,18.1,267060.65,13.11,569000.0,74,7,97500,1
60,236,20261113,42,2,1,604000.0,569000.0,35000.0,5.79,466000.0,103000.0,18.1,267060.65,13.11,569000.0,74,7,97500,1
61,40,20260625,72,2,1,505000.0,459000.0,46000.0,9.11,392000.0,67000.0,14.6,223287.47,20.6,459000.0,71,7,62500,1
62,986,20250203,31,1,1,505000.0,459000.0,46000.0,9.11,392000.0,67000.0,14.6,223287.47,20.6,459000.0,71,7,62500,1
63,41,20261224,24,2,1,715000.0,679000.0,36000.0,5.03,582000.0,97000.0,14.29,316139.68,11.39,679000.0,63,7,97500,1
64,42,20260914,25,2,1,661000.0,579000.0,82000.0,12.41,491000.0,88000.0,15.2,321762.32,25.48,579000.0,112,8,97500,1
65,43,20240902,52,2,1,419000.0,389000.0,30000.0,7.16,314000.0,75000.0,19.28,142844.84,21.0,389000.0,69,5,97500,1
66,7,20250904,35,2,1,724000.0,649000.0,75000.0,10.36,554000.0,95000.0,14.64,246824.98,30.39,649000.0,55,5,97500,1
67,12,20261123,68,2,1,431000.0,399000.0,32000.0,7.42,321000.0,78000.0,19.55,146935.86,21.78,399000.0,14,5,97500,1
68,334,20241010,69,2,1,431000.0,399000.0,32000.0,7.42,321000.0,78000.0,19.55,146935.86,21.78,399000.0,14,5,97500,1
69,44,20251213,69,2,1,219000.0,199000.0,20000.0,9.13,169000.0,30000.0,15.08,131479.41,15.21,199000.0,31,11,7500,1
70,45,20260917,16,1,1,651000.0,589000.0,62000.0,9.52,506000.0,83000.0,14.09,287841.86,21.54,589000.0,99,7,97500,1
71,46,20260417,95,2,1,704000.0,659000.0,45000.0,6.39,538000.0,121000.0,18.36,199659.36,22.54,659000.0,62,4,97500,1
72,47,20250725,80,3,1,916000.0,799000.0,117000.0,12.77,693000.0,106000.0,13.27,73280.0,159.66,799000.0,79,1,7500,1
73,48,20260405,42,2,1,822000.0,729000.0,93000.0,11.31,585000.0,144000.0,19.75,126259.2,73.66,729000.0,41,2,97500,1
